CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
100 011.001 0 0.00410604476929 0.00522949902908 0.0395500659943 0.00430297851562 0.00469183921814 0.0063750743866 0.00754380226135 1.0
200 011.001 0 0.00409889221191 0.0063100433619 0.0722849369049 0.00432991981506 0.00501203536987 0.00881099700928 0.0107159614563 1.0
300 011.001 0 0.00411891937256 0.00778747098819 0.0560569763184 0.0045268535614 0.00586199760437 0.0123898983002 0.0154089927673 1.0
