CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
100 013.001 0 0.00324106216431 0.00403761309247 0.00790190696716 0.00341200828552 0.00371694564819 0.00520300865173 0.00615000724792 1.0
200 013.001 0 0.00312399864197 0.00507204711935 0.0164031982422 0.00343990325928 0.00420594215393 0.00795483589172 0.00924706459045 1.0
300 013.001 0 0.00311207771301 0.00720249330865 0.0722320079803 0.00357699394226 0.00515794754028 0.0125460624695 0.0153288841248 1.0
