CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
100 91.8 0 0.00312900543213 0.00414714877296 0.0388810634613 0.00343084335327 0.00375509262085 0.00542616844177 0.00644612312317 1.0
200 188.066666667 0 0.00312399864197 0.00504975253832 0.05286693573 0.00346708297729 0.00412392616272 0.0078809261322 0.00943303108215 1.0
300 280.766666667 0 0.00311207771301 0.00706738150772 0.0892870426178 0.00356292724609 0.00512981414795 0.0120260715485 0.0147490501404 1.0
